INFORMAÇÕES SOBRE A DEMANDA - Janeiro/2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO¹  -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 5 - Lilás;;Linha 15 - Prata;;;;;;;;;;;;;;;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;;;;;;;;;;;;;;;
São Bento;69;Vila Madalena;22;Anhangabaú;67;- ;-;- ;-;;;;;;;;;;;;;;;
Luz;150;- ;- ;República;128;- ;-;- ;-;;;;;;;;;;;;;;;
Tiradentes ;11;- ;- ;Santa Cecília ;29;- ;-;- ;-;;;;;;;;;;;;;;;
Armênia ;26;- ;- ;Marechal Deodoro ;31;- ;-;- ;-;;;;;;;;;;;;;;;
Portuguesa-Tietê ;61;- ;- ;Palmeiras-Barra Funda;172;- ;-;- ;-;;;;;;;;;;;;;;;
Carandiru ;12;- ;- ;- ;- ;- ;-;- ;-;;;;;;;;;;;;;;;
Santana ;55;- ;- ;- ;- ;- ;-;- ;-;;;;;;;;;;;;;;;
Jardim São Paulo-Ayrton Senna;12;- ;- ;- ;- ;- ;-;- ;-;;;;;;;;;;;;;;;
Parada Inglesa ;14;- ;- ;- ;- ;- ;-;- ;-;;;;;;;;;;;;;;;
Tucuruvi ;58;- ;- ;- ;- ;- ;-;- ;-;;;;;;;;;;;;;;;
TOTAL8;1.169;TOTAL;570;TOTAL;1.196;TOTAL;226;TOTAL;17;;;;;;;;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1 - Azul com as transferências da Linha 2 - Verde;;;;                                                               Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos;;;;;;;;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2 - Verde com as transferências da Linha 1 - Azul;;;;;;;;;;;;;;;;;;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1 - Azul com as transferências da Linha 3 - Vermelha;;;;;;;;;;;;;;;;;;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3 - Vermelha com as transferências da Linha 1 - Azul;;;;;;;;;;;;;;;;;;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2 - Verde com as transferências da Linha 15 - Prata;;;;;;;;;;;;;;;;;;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15 - Prata com as transferências da Linha 2 - Verde;;;;;;;;;;;;;;;;;;;;;;;;
7 Início da Operação Comercial das estações Alto da Boa Vista, Borba Gato e Brooklin - dia 27/11/2017.;;;;;;;;;;;;;;;;;;;;;;;;
8 O total da linha pode ser diferente das soma das estações devido o arredondamento.;;;;;;;;;;;;;;;;;;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
