METRÔ DE SÃO PAULO;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2022;;;;;;;;;;;;;
Demanda de Passageiros por Estação - Média Dias Úteis (em milhares);;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 2-VERDE;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média
Vila Prudente¹;48;57;62;67;66;65;64;68;71;69;70;61;64
Tamanduateí;47;54;60;64;64;63;59;65;66;68;69;60;62
Sacomã;26;31;35;36;36;35;34;37;38;38;38;33;35
Alto do Ipiranga ;11;14;16;17;17;16;15;17;17;17;18;14;16
Santos-Imigrantes ;9;10;11;12;12;12;11;12;12;13;13;11;12
Chácara Klabin ;48;57;64;66;67;66;64;70;72;72;71;52;64
Ana Rosa²;41;48;54;56;56;54;52;57;57;59;59;52;54
Paraíso²;42;49;56;58;84;56;53;59;60;61;61;53;58
Brigadeiro ;28;34;39;42;42;41;41;44;44;45;46;40;41
Trianon-Masp ;24;30;37;39;40;38;36;41;42;43;42;35;37
Consolação;55;67;83;86;87;82;79;89;92;93;95;78;82
Clínicas ;13;16;18;19;19;18;17;19;19;19;19;16;18
Santuário N.S. de Fátima-Sumaré ;5;7;8;8;9;8;8;9;9;9;9;8;8
Vila Madalena;11;15;17;18;18;17;16;18;18;19;19;16;17
Total;408;491;560;588;590;570;548;605;619;625;629;530;563
¹ Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média
Corinthians-Itaquera;56;66;80;75;73;72;69;73;73;74;75;68;71
Artur Alvim;39;47;51;52;53;51;49;53;54;54;55;49;51
Patriarca ;14;17;19;20;19;19;18;20;20;20;20;18;19
Guilhermina-Esperança ;14;17;18;19;19;19;18;19;20;20;20;18;18
Vila Matilde ;17;21;23;24;24;23;22;25;25;25;25;22;23
Penha ;19;23;25;26;26;26;24;26;27;27;27;23;25
Carrão ;29;36;46;47;47;42;36;46;47;48;47;35;42
Tatuapé;53;62;71;71;71;70;69;71;72;72;74;68;69
Belém ;26;30;33;34;34;34;32;35;35;36;36;31;33
Bresser-Moóca ;21;24;30;31;30;29;26;31;32;32;32;26;29
Brás;67;73;78;81;79;77;74;74;75;78;78;79;76
Pedro II ;13;15;16;16;16;15;15;16;16;16;16;14;15
Sé¹;136;159;178;186;186;179;174;187;190;195;195;171;178
Anhangabaú;34;40;43;46;46;44;44;46;47;50;50;43;44
República;79;91;104;108;109;107;105;111;114;115;117;105;105
Santa Cecília ;17;20;22;23;22;21;20;22;23;23;23;20;21
Marechal Deodoro ;19;23;25;26;25;25;23;26;26;26;26;22;24
Palmeiras-Barra Funda;105;120;134;139;131;130;129;135;140;141;144;130;132
Total;758;883;996;1.023;1.010;980;948;1.015;1.035;1.051;1.063;945;976
¹ Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 15-PRATA;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média
Vila Prudente¹;38;45;49;51;51;50;49;51;53;52;54;43;49
Oratório;4;5;5;5;5;5;5;6;6;5;6;5;5
São Lucas;3;4;4;5;5;5;4;5;5;5;5;4;5
Camilo Haddad;2;3;3;3;3;3;3;3;3;3;4;3;3
Vila Tolstói;3;4;4;4;5;5;4;5;5;5;5;4;4
Vila União;4;4;5;5;5;5;5;5;5;5;5;5;5
Jardim Planalto;3;3;4;4;4;4;4;4;4;4;4;4;4
Sapopemba;5;6;7;7;7;7;7;8;8;8;8;7;7
Fazenda da Juta;3;3;4;4;4;4;4;4;4;4;4;4;4
São Mateus;13;16;16;16;15;15;15;16;16;16;17;15;16
Jardim Colonial; -   ;1;3;4;4;4;4;5;5;5;5;5;4
Total;79;94;104;109;109;108;104;110;114;114;117;99;105
¹ Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas - 18/01/2023;;;;;;;;;;;;;
